Timestamp,accx,accy,accz
2022-12-15 11:04:18.657,9.96,-0.55,1.03
2022-12-15 11:04:19.656,9.99,-0.51,0.84
2022-12-15 11:04:20.656,9.94,-0.53,1.16
2022-12-15 11:04:21.672,9.96,-0.52,0.89
2022-12-15 11:04:22.672,9.92,-0.50,1.07
2022-12-15 11:04:23.672,9.93,-0.53,1.15
2022-12-15 11:04:24.671,10.01,-0.46,0.78
2022-12-15 11:04:25.687,9.99,-0.50,0.88
2022-12-15 11:04:26.687,10.04,-0.54,0.96
2022-12-15 11:04:27.687,9.97,-0.48,0.69
2022-12-15 11:04:28.702,9.98,-0.51,0.73
2022-12-15 11:04:29.702,10.00,-0.51,0.45
2022-12-15 11:04:30.702,9.98,-0.52,0.43
2022-12-15 11:04:31.703,10.06,-0.50,0.19
2022-12-15 11:04:32.719,9.99,-0.42,0.14
2022-12-15 11:04:33.719,10.06,-0.52,0.38
2022-12-15 11:04:34.718,10.06,-0.45,0.36
2022-12-15 11:04:35.718,10.02,-0.51,0.24
2022-12-15 11:04:36.734,10.02,-0.46,0.08
2022-12-15 11:04:37.734,9.97,-0.50,0.18
2022-12-15 11:04:38.734,9.99,-0.49,0.01
2022-12-15 11:04:39.749,9.98,-0.46,0.33
2022-12-15 11:04:40.749,9.96,-0.55,0.49
2022-12-15 11:04:41.749,10.03,-0.48,0.51
2022-12-15 11:04:42.749,10.01,-0.52,0.66
2022-12-15 11:04:43.764,10.01,-0.46,0.54
2022-12-15 11:04:44.764,9.99,-0.51,0.85
2022-12-15 11:04:45.764,9.96,-0.50,0.68
2022-12-15 11:04:46.764,9.89,-0.51,0.69
2022-12-15 11:04:47.780,9.96,-0.55,0.96
2022-12-15 11:04:48.779,9.94,-0.48,0.97
2022-12-15 11:04:49.779,10.01,-0.53,1.11
2022-12-15 11:04:50.795,9.97,-0.49,0.98
2022-12-15 11:04:51.796,10.00,-0.51,0.80
2022-12-15 11:04:52.796,9.99,-0.49,0.69
2022-12-15 11:04:53.796,9.96,-0.53,0.61
2022-12-15 11:04:54.811,10.04,-0.52,0.51
2022-12-15 11:04:55.811,9.96,-0.52,0.59
2022-12-15 11:04:56.811,10.08,-0.46,0.46
2022-12-15 11:04:57.811,10.01,-0.52,0.43
2022-12-15 11:04:58.826,10.05,-0.50,0.33
2022-12-15 11:04:59.826,10.00,-0.46,0.30
2022-12-15 11:05:00.826,10.01,-0.47,0.39
2022-12-15 11:05:01.827,10.03,-0.49,0.62
2022-12-15 11:05:02.842,10.03,-0.48,0.75
2022-12-15 11:05:03.842,9.97,-0.49,0.75
2022-12-15 11:05:04.842,9.98,-0.49,1.02
2022-12-15 11:05:05.857,9.94,-0.53,0.80
2022-12-15 11:05:06.857,9.90,-0.47,0.90
2022-12-15 11:05:07.857,9.98,-0.52,1.13
2022-12-15 11:05:08.857,9.99,-0.46,1.02
2022-12-15 11:05:09.873,10.04,-0.52,1.14
2022-12-15 11:05:10.873,9.96,-0.44,0.62
2022-12-15 11:05:11.872,10.01,-0.53,0.40
2022-12-15 11:05:12.872,9.98,-0.49,0.28
2022-12-15 11:05:13.888,10.01,-0.55,0.68
2022-12-15 11:05:14.888,10.02,-0.45,0.35
2022-12-15 11:05:15.888,10.06,-0.49,0.34
2022-12-15 11:05:16.903,9.96,-0.51,0.11
2022-12-15 11:05:17.903,10.02,-0.49,0.52
2022-12-15 11:05:18.903,9.99,-0.45,0.53
2022-12-15 11:05:19.903,10.00,-0.49,0.56
2022-12-15 11:05:20.918,9.96,-0.50,0.76
2022-12-15 11:05:21.918,10.01,-0.51,0.92
2022-12-15 11:05:22.918,9.94,-0.53,1.03
2022-12-15 11:05:23.934,9.96,-0.49,0.89
2022-12-15 11:05:24.934,9.96,-0.57,1.04
2022-12-15 11:05:25.933,9.96,-0.50,0.71
